ParkName,BeginTempCelsius,BeginPrecip,Year,DeerNum,VegType,GPSDate,GPSTime,Long,Lat,Month
Wilson's Creek National Battlefield,11.4,No rain,2005,2,Upland Forest,3/2/2005,10:44:52,-93.4023314,37.10364242,03
Wilson's Creek National Battlefield,11.4,No rain,2005,3,Riparian Grassland,3/2/2005,10:50:32,-93.40342719,37.09303374,03
Wilson's Creek National Battlefield,11.4,No rain,2005,4,Riparian Forest,3/2/2005,10:56:08,-93.41139693,37.09721264,03
Wilson's Creek National Battlefield,11.4,No rain,2005,1,Upland Forest,3/2/2005,11:00:07,-93.41588539,37.10280183,03
Wilson's Creek National Battlefield,12.2,No rain,2005,4,Upland Forest,3/2/2005,12:41:21,-93.40251377,37.10342594,03
Wilson's Creek National Battlefield,12.2,No rain,2005,1,Upland Forest,3/2/2005,12:42:40,-93.40251351,37.10342374,03
Wilson's Creek National Battlefield,12.2,No rain,2005,3,Riparian Grassland,3/2/2005,12:49:50,-93.40342652,37.0930516,03
Wilson's Creek National Battlefield,12.2,No rain,2005,4,Riparian Grassland,3/2/2005,12:51:42,-93.40347017,37.09326881,03
Wilson's Creek National Battlefield,11,No rain,2005,2,Upland Forest,3/2/2005,19:26:20,-93.41378083,37.11643731,03
Wilson's Creek National Battlefield,11,No rain,2005,5,Grassland/Prairie,3/2/2005,19:32:14,-93.40514565,37.11567452,03
Wilson's Creek National Battlefield,11,No rain,2005,2,Grassland/Prairie,3/2/2005,19:38:00,-93.40068893,37.11114959,03
Wilson's Creek National Battlefield,11,No rain,2005,3,Grassland/Prairie,3/2/2005,19:47:09,-93.40442029,37.10002578,03
Wilson's Creek National Battlefield,11,No rain,2005,2,Grassland/Prairie,3/2/2005,19:49:31,-93.40438566,37.09964645,03
Wilson's Creek National Battlefield,11,No rain,2005,5,Grassland/Prairie,3/2/2005,19:51:34,-93.40406112,37.09733517,03
Wilson's Creek National Battlefield,11,No rain,2005,3,Grassland/Prairie,3/2/2005,19:56:52,-93.40363242,37.09423066,03
Wilson's Creek National Battlefield,11,No rain,2005,4,Riparian Grassland,3/2/2005,19:59:17,-93.40351765,37.09366115,03
Wilson's Creek National Battlefield,11,No rain,2005,2,Riparian Forest,3/2/2005,20:02:15,-93.40350645,37.09227588,03
Wilson's Creek National Battlefield,6.8,No rain,2005,2,Riparian Grassland,3/4/2005,21:37:02,-93.40491115,37.09145393,03
Wilson's Creek National Battlefield,6.8,No rain,2005,1,Riparian Grassland,3/4/2005,21:38:10,-93.40525151,37.09137787,03
Wilson's Creek National Battlefield,11,No rain,2005,2,Riparian Grassland,3/2/2005,20:03:20,-93.4038399,37.09193794,03
Wilson's Creek National Battlefield,11,No rain,2005,2,Grassland/Prairie,3/2/2005,20:05:13,-93.40537302,37.09136682,03
Wilson's Creek National Battlefield,11,No rain,2005,4,Grassland/Prairie,3/2/2005,20:07:31,-93.4059428,37.09137931,03
Wilson's Creek National Battlefield,11,No rain,2005,9,Grassland/Prairie,3/2/2005,20:09:27,-93.40731532,37.09238061,03
Wilson's Creek National Battlefield,11,No rain,2005,5,Grassland/Prairie,3/2/2005,20:10:35,-93.40758274,37.09312103,03
Wilson's Creek National Battlefield,11,No rain,2005,3,Grassland/Prairie,3/2/2005,20:11:29,-93.40758615,37.09312643,03
Wilson's Creek National Battlefield,11,No rain,2005,2,Riparian Forest,3/2/2005,20:15:27,-93.41161538,37.09786708,03
Wilson's Creek National Battlefield,11.7,No rain,2005,2,Grassland/Prairie,3/4/2005,19:39:06,-93.40360797,37.0942447,03
Wilson's Creek National Battlefield,11.7,No rain,2005,3,Riparian Grassland,3/4/2005,19:42:37,-93.40490791,37.09145849,03
Wilson's Creek National Battlefield,11.7,No rain,2005,1,Grassland/Prairie,3/4/2005,19:46:46,-93.40723188,37.09221467,03
Wilson's Creek National Battlefield,11.7,No rain,2005,2,Grassland/Prairie,3/4/2005,19:50:15,-93.40778197,37.09392156,03
Wilson's Creek National Battlefield,11.7,No rain,2005,3,Grassland/Prairie,3/4/2005,19:51:24,-93.40777728,37.09392001,03
Wilson's Creek National Battlefield,11.7,No rain,2005,3,Grassland/Prairie,3/4/2005,19:54:05,-93.4100322,37.09583922,03
Wilson's Creek National Battlefield,11.7,No rain,2005,5,Grassland/Prairie,3/4/2005,19:55:48,-93.41075952,37.09587376,03
Wilson's Creek National Battlefield,11.7,No rain,2005,1,Grassland/Prairie,3/4/2005,19:58:16,-93.41150842,37.09770461,03
Wilson's Creek National Battlefield,10.3,No rain,2005,3,Grassland/Prairie,3/3/2005,19:14:40,-93.40477639,37.11566781,03
Wilson's Creek National Battlefield,10.3,No rain,2005,3,Grassland/Prairie,3/3/2005,19:18:41,-93.40123756,37.11177803,03
Wilson's Creek National Battlefield,10.3,No rain,2005,1,Grassland/Prairie,3/3/2005,19:27:13,-93.4043385,37.09924608,03
Wilson's Creek National Battlefield,10.3,No rain,2005,3,Grassland/Prairie,3/3/2005,19:28:44,-93.40427666,37.09884533,03
Wilson's Creek National Battlefield,10.3,No rain,2005,3,Riparian Grassland,3/3/2005,19:32:31,-93.4035272,37.0937455,03
Wilson's Creek National Battlefield,10.3,No rain,2005,3,Riparian Grassland,3/3/2005,19:34:23,-93.4034373,37.09242879,03
Wilson's Creek National Battlefield,10.3,No rain,2005,1,Grassland/Prairie,3/3/2005,19:36:50,-93.40543405,37.09135619,03
Wilson's Creek National Battlefield,10.3,No rain,2005,8,Grassland/Prairie,3/3/2005,19:38:05,-93.40588388,37.09136834,03
Wilson's Creek National Battlefield,10.3,No rain,2005,7,Grassland/Prairie,3/3/2005,19:43:46,-93.41148794,37.09769737,03
Wilson's Creek National Battlefield,10.6,No rain,2005,3,Grassland/Prairie,3/3/2005,20:19:23,-93.39911455,37.10744577,03
Wilson's Creek National Battlefield,10.6,No rain,2005,2,Grassland/Prairie,3/3/2005,20:24:45,-93.40439313,37.10030574,03
Wilson's Creek National Battlefield,10.6,No rain,2005,7,Grassland/Prairie,3/3/2005,20:27:20,-93.40421766,37.09839083,03
Wilson's Creek National Battlefield,10.6,No rain,2005,3,Riparian Grassland,3/3/2005,20:32:41,-93.4036012,37.09217746,03
Wilson's Creek National Battlefield,2.7,No rain,2005,2,Upland Forest,3/2/2005,21:27:26,-93.41339621,37.11623949,03
Wilson's Creek National Battlefield,2.7,No rain,2005,6,Grassland/Prairie,3/2/2005,21:31:50,-93.40530595,37.11566875,03
Wilson's Creek National Battlefield,2.7,No rain,2005,3,Grassland/Prairie,3/2/2005,21:34:17,-93.40221501,37.11463916,03
Wilson's Creek National Battlefield,2.7,No rain,2005,3,Grassland/Prairie,3/2/2005,21:44:50,-93.40440761,37.10000762,03
Wilson's Creek National Battlefield,2.7,No rain,2005,1,Grassland/Prairie,3/2/2005,21:46:11,-93.40438958,37.09958575,03
Wilson's Creek National Battlefield,2.7,No rain,2005,1,Riparian Forest,3/2/2005,21:49:54,-93.40399525,37.09686609,03
Wilson's Creek National Battlefield,2.7,No rain,2005,2,Riparian Grassland,3/2/2005,21:54:33,-93.40388656,37.09191146,03
Wilson's Creek National Battlefield,2.7,No rain,2005,5,Grassland/Prairie,3/2/2005,21:56:32,-93.40664268,37.09162287,03
Wilson's Creek National Battlefield,2.7,No rain,2005,2,Grassland/Prairie,3/2/2005,21:57:46,-93.40674456,37.09169923,03
Wilson's Creek National Battlefield,2.7,No rain,2005,7,Grassland/Prairie,3/2/2005,21:59:39,-93.4076521,37.09333561,03
Wilson's Creek National Battlefield,16.4,No rain,2005,5,Riparian Forest,3/3/2005,11:44:54,-93.40398131,37.09676123,03
Wilson's Creek National Battlefield,16.4,No rain,2005,2,Riparian Forest,3/3/2005,11:51:13,-93.40836981,37.09565996,03
Wilson's Creek National Battlefield,8.6,No rain,2005,2,Grassland/Prairie,3/4/2005,20:19:20,-93.40162533,37.11253412,03
Wilson's Creek National Battlefield,8.6,No rain,2005,3,Grassland/Prairie,3/4/2005,20:21:04,-93.40125001,37.11178665,03
Wilson's Creek National Battlefield,8.6,No rain,2005,3,Grassland/Prairie,3/4/2005,20:28:32,-93.40438993,37.09966482,03
Wilson's Creek National Battlefield,8.6,No rain,2005,2,Grassland/Prairie,3/4/2005,20:32:38,-93.40361598,37.09428213,03
Wilson's Creek National Battlefield,8.6,No rain,2005,3,Riparian Grassland,3/4/2005,20:35:32,-93.40511525,37.09139577,03
Wilson's Creek National Battlefield,8.6,No rain,2005,3,Grassland/Prairie,3/4/2005,20:39:07,-93.407771640000007,37.09387301,03
Wilson's Creek National Battlefield,8.6,No rain,2005,2,Grassland/Prairie,3/4/2005,20:41:30,-93.40778051,37.09389869,03
Wilson's Creek National Battlefield,8.6,No rain,2005,5,Grassland/Prairie,3/4/2005,20:42:48,-93.40782915,37.09444702,03
Wilson's Creek National Battlefield,8.6,No rain,2005,1,Grassland/Prairie,3/4/2005,20:47:59,-93.41150106,37.09767868,03
Wilson's Creek National Battlefield,6.8,No rain,2005,2,Grassland/Prairie,3/4/2005,21:19:48,-93.40121496,37.11172289,03
Wilson's Creek National Battlefield,6.8,No rain,2005,3,Grassland/Prairie,3/4/2005,21:27:30,-93.40442616,37.09993196,03
Wilson's Creek National Battlefield,6.8,No rain,2005,5,Grassland/Prairie,3/4/2005,21:28:42,-93.40440499,37.0996443,03
Wilson's Creek National Battlefield,6.8,No rain,2005,2,Grassland/Prairie,3/4/2005,21:33:03,-93.40361492,37.09423382,03
Wilson's Creek National Battlefield,10.6,No rain,2005,2,Riparian Grassland,3/3/2005,20:33:57,-93.40360014,37.09217632,03
Wilson's Creek National Battlefield,10.6,No rain,2005,1,Riparian Grassland,3/3/2005,20:36:41,-93.40396107,37.091869,03
Wilson's Creek National Battlefield,10.6,No rain,2005,1,Grassland/Prairie,3/3/2005,20:38:08,-93.40531036,37.0913677,03
Wilson's Creek National Battlefield,10.6,No rain,2005,10,Grassland/Prairie,3/3/2005,20:39:25,-93.40587462,37.091372990000004,03
Wilson's Creek National Battlefield,10.6,No rain,2005,5,Grassland/Prairie,3/3/2005,20:43:39,-93.41151242,37.097694,03
Wilson's Creek National Battlefield,16.5,No rain,2005,3,Riparian Forest,3/4/2005,11:53:33,-93.41349672,37.09883032,03
Wilson's Creek National Battlefield,11.7,No rain,2005,2,Upland Forest,3/4/2005,19:12:58,-93.41442106,37.1167066,03
Wilson's Creek National Battlefield,11.7,No rain,2005,2,Grassland/Prairie,3/4/2005,19:18:25,-93.40518983,37.11566749,03
Wilson's Creek National Battlefield,11.7,No rain,2005,1,Grassland/Prairie,3/4/2005,19:19:30,-93.40488461,37.11567523,03
Wilson's Creek National Battlefield,11.7,No rain,2005,10,Grassland/Prairie,3/4/2005,19:21:35,-93.40428444,37.11567805,03
Wilson's Creek National Battlefield,11.7,No rain,2005,3,Grassland/Prairie,3/4/2005,19:27:55,-93.39902375,37.10762011,03
Wilson's Creek National Battlefield,11.7,No rain,2005,5,Grassland/Prairie,3/4/2005,19:34:41,-93.40440598,37.09972687,03
Wilson's Creek National Battlefield,12.4,No rain,2005,2,Upland Forest,3/2/2005,11:42:36,-93.40227892,37.10370258,03
Wilson's Creek National Battlefield,12.4,No rain,2005,3,Riparian Grassland,3/2/2005,11:48:14,-93.40342582,37.09302738,03
Wilson's Creek National Battlefield,12.4,No rain,2005,1,Upland Forest,3/2/2005,11:57:58,-93.41566345,37.10238692,03
Wilson's Creek National Battlefield,10.4,No rain,2005,1,Upland Forest,3/2/2005,20:31:03,-93.4166375,37.11592895,03
Wilson's Creek National Battlefield,10.4,No rain,2005,5,Grassland/Prairie,3/2/2005,20:37:41,-93.40531605,37.11567484,03
Wilson's Creek National Battlefield,10.4,No rain,2005,3,Grassland/Prairie,3/2/2005,20:48:42,-93.40442195,37.09994216,03
Wilson's Creek National Battlefield,10.4,No rain,2005,2,Grassland/Prairie,3/2/2005,20:50:05,-93.40440164,37.09963345,03
Wilson's Creek National Battlefield,10.4,No rain,2005,4,Riparian Forest,3/2/2005,20:52:37,-93.40398362,37.09676223,03
Wilson's Creek National Battlefield,10.4,No rain,2005,2,Riparian Grassland,3/2/2005,20:56:41,-93.40378627,37.09198949,03
Wilson's Creek National Battlefield,10.4,No rain,2005,1,Riparian Grassland,3/2/2005,20:57:32,-93.40399684,37.09184776,03
Wilson's Creek National Battlefield,10.4,No rain,2005,2,Riparian Grassland,3/2/2005,20:59:58,-93.40458031,37.09158207,03
Wilson's Creek National Battlefield,10.4,No rain,2005,5,Grassland/Prairie,3/2/2005,21:02:14,-93.40732116,37.09244334,03
Wilson's Creek National Battlefield,10.4,No rain,2005,8,Grassland/Prairie,3/2/2005,21:03:53,-93.40771329,37.09352928,03
Pea Ridge National Military Park,11.6,No rain,2005,5,Upland Forest,3/10/2005,10:34:30,-94.03778487,36.44030538,03
Pea Ridge National Military Park,11.6,No rain,2005,3,Upland Forest,3/10/2005,10:42:24,-94.04938166,36.44191812,03
Pea Ridge National Military Park,11.6,No rain,2005,3,Upland Forest,3/10/2005,10:45:18,-94.04948757,36.44192647,03
Pea Ridge National Military Park,11.6,No rain,2005,2,Upland Forest,3/10/2005,10:55:15,-94.04615848,36.45559526,03
Pea Ridge National Military Park,11.6,No rain,2005,2,Upland Forest,3/10/2005,10:57:16,-94.04474183,36.45585948,03
Pea Ridge National Military Park,21.3,No rain,2005,1,Grassland/Prairie,3/12/2005,19:39:05,-94.05191451,36.44601404,03
Pea Ridge National Military Park,21.3,No rain,2005,2,Grassland/Prairie,3/12/2005,19:40:08,-94.05183195,36.44634978,03
Pea Ridge National Military Park,21.3,No rain,2005,1,Grassland/Prairie,3/12/2005,19:44:32,-94.05134581,36.45198881,03
Pea Ridge National Military Park,21.3,No rain,2005,1,Grassland/Prairie,3/12/2005,19:45:52,-94.0508091,36.45309838,03
Pea Ridge National Military Park,21.3,No rain,2005,2,Upland Forest,3/12/2005,19:59:35,-94.0249599,36.46065737,03
Pea Ridge National Military Park,21.3,No rain,2005,5,Grassland/Prairie,3/12/2005,20:06:50,-94.01619388,36.45296113,03
Pea Ridge National Military Park,21.3,No rain,2005,5,Grassland/Prairie,3/12/2005,20:12:35,-94.02632709,36.44573232,03
Arkansas Post National Memorial,15.3,No rain,2005,4,Riparian Forest,3/28/2005,19:29:30,-91.3439944,34.0268326,03
Arkansas Post National Memorial,15.3,No rain,2005,4,Mowed Lawn,3/28/2005,19:32:40,-91.34320868,34.02433819,03
Arkansas Post National Memorial,15.3,No rain,2005,1,Riparian Forest,3/28/2005,19:36:49,-91.34519574,34.0196078,03
Arkansas Post National Memorial,15.3,No rain,2005,2,Mowed Lawn,3/28/2005,19:49:55,-91.3509327,34.02302515,03
Arkansas Post National Memorial,15.3,No rain,2005,6,Mowed Lawn,3/28/2005,19:51:05,-91.35137037,34.02281279,03
Arkansas Post National Memorial,15.3,No rain,2005,5,Mowed Lawn,3/28/2005,19:52:10,-91.35181263,34.02244796,03
Arkansas Post National Memorial,13.6,No rain,2005,4,Riparian Forest,3/28/2005,20:29:57,-91.34420073,34.02683329,03
Arkansas Post National Memorial,13.6,No rain,2005,4,Mowed Lawn,3/28/2005,20:33:49,-91.34321125,34.02431424,03
Arkansas Post National Memorial,13.6,No rain,2005,1,Riparian Forest,3/28/2005,20:40:09,-91.34616335,34.01883616,03
Arkansas Post National Memorial,13.6,No rain,2005,1,Riparian Forest,3/28/2005,20:44:01,-91.34515278,34.0170017,03
Arkansas Post National Memorial,13.6,No rain,2005,1,Riparian Forest,3/28/2005,20:50:47,-91.35046334,34.02309814,03
Arkansas Post National Memorial,13.6,No rain,2005,2,Riparian Forest,3/28/2005,20:52:42,-91.35060933,34.02308429,03
Arkansas Post National Memorial,13.6,No rain,2005,5,Grassland/Prairie,3/28/2005,20:54:26,-91.35189365,34.02236533,03
Arkansas Post National Memorial,13.6,No rain,2005,1,Riparian Forest,3/28/2005,20:56:30,-91.35228082,34.0219371,03
Arkansas Post National Memorial,13.1,No rain,2005,9,Riparian Forest,3/28/2005,21:25:52,-91.34387802,34.02683382,03
Arkansas Post National Memorial,13.1,No rain,2005,4,Mowed Lawn,3/28/2005,21:28:26,-91.34320932,34.02429613,03
Arkansas Post National Memorial,13.1,No rain,2005,9,Grassland/Prairie,3/28/2005,21:40:46,-91.35133094,34.02284559,03
Arkansas Post National Memorial,13.1,No rain,2005,3,Mowed Lawn,3/28/2005,21:42:03,-91.35178556,34.02248617,03
Arkansas Post National Memorial,13.1,No rain,2005,6,Riparian Forest,3/28/2005,21:43:39,-91.35223072,34.02197827,03
Arkansas Post National Memorial,19,No rain,2005,7,Riparian Forest,3/29/2005,10:35:58,-91.34629609,34.01874003,03
Arkansas Post National Memorial,19.6,No rain,2005,9,Outside Park,3/29/2005,19:25:19,-91.34652167,34.0268615,03
Arkansas Post National Memorial,19.6,No rain,2005,6,Riparian Forest,3/29/2005,19:26:40,-91.34604664,34.02685397,03
Arkansas Post National Memorial,19.6,No rain,2005,7,Mowed Lawn,3/29/2005,19:30:23,-91.34322054,34.02397463,03
Arkansas Post National Memorial,19.6,No rain,2005,6,Mowed Lawn,3/29/2005,19:44:32,-91.35192409,34.02234193,03
Arkansas Post National Memorial,19.5,No rain,2005,4,Outside Park,3/29/2005,20:25:00,-91.34712026,34.02685548,03
Pea Ridge National Military Park,10,No rain,2005,7,Grassland/Prairie,3/10/2005,19:26:20,-94.03209145,36.44084234,03
Pea Ridge National Military Park,10,No rain,2005,2,Upland Forest,3/10/2005,19:44:58,-94.05046737,36.45364946,03
Pea Ridge National Military Park,10,No rain,2005,3,Grassland/Prairie,3/10/2005,19:46:22,-94.0501005,36.4539599,03
Pea Ridge National Military Park,10,No rain,2005,4,Upland Forest,3/10/2005,20:08:05,-94.02159131,36.45371682,03
Pea Ridge National Military Park,10,No rain,2005,1,Upland Forest,3/10/2005,20:13:34,-94.01680419,36.45334122,03
Pea Ridge National Military Park,10,No rain,2005,2,Grassland/Prairie,3/10/2005,20:24:42,-94.02669473,36.44485857,03
Pea Ridge National Military Park,10,No rain,2005,4,Grassland/Prairie,3/10/2005,20:27:13,-94.02697359,36.4441635,03
Pea Ridge National Military Park,10,No rain,2005,5,Mowed Lawn,3/10/2005,20:28:28,-94.02709272,36.44393169,03
Pea Ridge National Military Park,10,No rain,2005,2,Mowed Lawn,3/10/2005,20:30:03,-94.02716269,36.44368061,03
Pea Ridge National Military Park,10.4,No rain,2005,3,Upland Forest,3/10/2005,20:34:59,-94.02801566,36.4432037,03
